CLIENTNUM,Attrition_Flag,Customer_Age,Gender,Dependent_count,Education_Level,Marital_Status,Income_Category,Card_Category,Months_on_book,Total_Relationship_Count,Months_Inactive_12_mon,Contacts_Count_12_mon,Credit_Limit,Total_Revolving_Bal,Avg_Open_To_Buy,Total_Amt_Chng_Q4_Q1,Total_Trans_Amt,Total_Trans_Ct,Total_Ct_Chng_Q4_Q1,Avg_Utilization_Ratio,Naive_Bayes_Classifier_Attrition_Flag_Card_Category_Contacts_Count_12_mon_Dependent_count_Education_Level_Months_Inactive_12_mon_1,Naive_Bayes_Classifier_Attrition_Flag_Card_Category_Contacts_Count_12_mon_Dependent_count_Education_Level_Months_Inactive_12_mon_2
5316,Attrited Customer,37,F,3,High School,Married,$40K - $60K,Blue,34,4,3,2,3049.0,2517,592.0,0.328,1536,32,0.371,0.718,0.99462,0.00538
5317,Existing Customer,54,M,1,Graduate,Single,$120K +,Blue,40,4,1,2,30334.0,958,20667.0,0.984,4508,70,1.1,0.069,5.129e-05,0.99995
5318,Existing Customer,43,M,3,Graduate,Married,$80K - $120K,Blue,37,1,2,3,13052.0,2145,10741.0,0.803,7972,85,0.607,0.111,0.00019864,0.9998
5319,Existing Customer,46,F,1,Uneducated,Divorced,Less than $40K,Blue,36,3,2,0,1768.0,1581,364.0,0.786,4223,81,0.906,0.786,4.84e-05,0.99995
5320,Existing Customer,43,M,3,Graduate,Divorced,$40K - $60K,Blue,36,6,2,2,19630.0,0,19237.0,0.474,4404,62,0.566,0.0,0.00011211,0.99989
5321,Existing Customer,39,M,1,Unknown,Unknown,$80K - $120K,Silver,28,1,3,2,34516.0,0,34516.0,0.736,13449,116,0.842,0.0,0.00016216,0.99984
5322,Existing Customer,49,M,4,Doctorate,Married,$80K - $120K,Blue,37,3,2,1,34516.0,1248,33239.0,0.861,4146,94,0.767,0.038,7.223e-05,0.99993
5323,Existing Customer,48,M,2,Graduate,Married,Less than $40K,Blue,27,5,3,3,2290.0,1690,250.0,0.973,4371,85,0.605,0.962,0.00030251,0.9997
5324,Existing Customer,43,M,2,Graduate,Divorced,$120K +,Blue,35,2,2,1,3327.0,1499,1614.0,0.504,7987,101,0.591,0.483,8.163e-05,0.99992
5325,Existing Customer,51,M,1,Uneducated,Single,$120K +,Blue,37,6,3,3,11804.0,729,9831.0,1.021,3026,69,0.65,0.052,0.00026415,0.99974
5326,Existing Customer,48,F,2,Graduate,Married,Less than $40K,Blue,37,5,1,3,1438.3,1394,595.0,0.81,4853,75,0.852,0.684,9.263e-05,0.99991
5327,Existing Customer,48,M,3,High School,Unknown,$60K - $80K,Blue,34,3,2,4,6162.0,1918,4906.0,1.086,1107,23,1.05,0.162,0.00032942,0.99967
5328,Attrited Customer,52,M,2,Unknown,Married,$80K - $120K,Blue,46,2,1,4,7189.0,1528,6726.0,0.903,6197,78,0.65,0.195,0.99428,0.00572
5329,Existing Customer,50,M,3,Post-Graduate,Married,$120K +,Blue,41,5,1,2,21983.0,813,10968.0,0.925,1923,44,0.8,0.021,6.032e-05,0.99994
5330,Existing Customer,41,F,2,Uneducated,Married,Less than $40K,Blue,35,2,3,1,2786.0,2083,703.0,0.647,7737,81,0.683,0.755,0.00011757,0.99988
5331,Existing Customer,39,F,1,Graduate,Unknown,$40K - $60K,Silver,29,6,3,2,10782.0,0,11529.0,0.708,3993,71,0.68,0.0,0.00016283,0.99984
5332,Existing Customer,37,M,2,Graduate,Married,$120K +,Blue,43,5,1,2,7421.0,0,7360.0,0.49,1764,41,0.35,0.0,5.507e-05,0.99994
5333,Attrited Customer,53,F,1,Post-Graduate,Married,$40K - $60K,Blue,40,4,4,1,3293.0,438,3332.0,1.288,808,11,0.392,0.027,0.99259,0.00441
5334,Existing Customer,43,M,4,High School,Unknown,$80K - $120K,Blue,27,6,3,3,12291.0,1492,10431.0,0.693,3810,67,0.81,0.105,0.00050735,0.99959
5335,Existing Customer,36,F,3,College,Married,Unknown,Blue,28,3,1,3,11441.0,1387,258.0,0.967,1699,35,1.0,0.783,9.444e-05,0.99991
5336,Existing Customer,51,F,2,High School,Married,Unknown,Blue,42,1,3,2,9689.0,1561,8570.0,0.771,4603,86,0.69,0.186,0.00017468,0.99983
5337,Existing Customer,49,F,0,Post-Graduate,Single,Unknown,Blue,39,2,2,3,3335.0,1585,1685.0,0.815,5436,75,0.875,0.454,0.00019144,0.99981
5338,Attrited Customer,58,M,2,Uneducated,Single,$120K +,Blue,52,2,5,2,14966.0,1221,13998.0,0.352,1151,38,0.109,0.085,0.99595,0.00405548
5339,Existing Customer,52,M,0,Graduate,Single,$40K - $60K,Blue,36,2,2,2,4028.0,1034,3431.0,0.941,13039,108,0.687,0.297,0.00010743,0.99989
5340,Existing Customer,36,F,1,High School,Divorced,Less than $40K,Blue,27,4,2,4,3386.0,1145,1807.0,0.646,2675,65,0.686,0.502,0.00028498,0.99972
5341,Existing Customer,34,F,2,Graduate,Single,Less than $40K,Blue,18,3,3,3,3579.0,624,3183.0,0.787,2557,89,0.895,0.115,0.00030251,0.9997
5342,Attrited Customer,36,F,2,Graduate,Single,$40K - $60K,Blue,28,3,2,3,2093.0,0,2264.0,0.157,1767,33,0.285,0.0,0.9943,0.0057
5343,Existing Customer,50,F,2,Graduate,Married,Unknown,Blue,36,1,2,3,2683.0,1989,978.0,0.913,4964,87,0.879,0.697,0.00018975,0.99981
5344,Existing Customer,44,F,2,Graduate,Married,Unknown,Blue,36,4,1,3,6351.0,2267,4664.0,0.548,3706,81,0.88,0.377,9.643e-05,0.9999
5345,Existing Customer,52,M,3,High School,Single,$80K - $120K,Silver,49,2,3,3,34516.0,879,33447.0,0.547,13424,76,0.66,0.039,0.00025053,0.99975
5346,Existing Customer,44,M,2,Graduate,Married,$120K +,Silver,31,2,3,1,34516.0,1330,33066.0,0.718,7797,82,0.66,0.049,0.00010574,0.99989
5347,Attrited Customer,51,M,2,Doctorate,Married,$120K +,Blue,41,3,3,2,4044.0,0,4294.0,1.008,977,11,0.383,0.0,0.99493,0.00506
5348,Attrited Customer,34,F,1,High School,Single,Less than $40K,Blue,20,3,2,4,3056.0,2250,1292.0,0.92,2146,43,0.8,0.654,0.99752,0.00247
5349,Attrited Customer,61,F,0,College,Single,Less than $40K,Blue,47,3,3,3,4202.0,0,4208.0,0.869,2034,40,0.267,0.0,0.99681,0.00319158
5350,Existing Customer,58,F,0,Unknown,Unknown,Less than $40K,Blue,46,6,1,3,3490.0,1692,1081.0,0.718,1060,30,1.0,0.634,0.00010769,0.99989
5351,Existing Customer,55,F,4,Unknown,Married,Less than $40K,Blue,39,3,1,2,1438.3,912,971.3,0.671,3932,71,0.786,0.479,6.389e-05,0.99994
5352,Attrited Customer,44,M,3,High School,Unknown,$60K - $80K,Blue,36,5,2,4,9487.0,1574,8162.0,0.685,2136,30,0.562,0.147,0.99695,0.00305529
5353,Existing Customer,47,M,4,High School,Married,$60K - $80K,Blue,34,5,1,3,2537.0,1019,1679.0,0.624,3434,63,0.959,0.449,9.44e-05,0.99991
5354,Existing Customer,39,F,0,Graduate,Married,Unknown,Blue,36,4,6,4,2168.0,0,2093.0,0.873,4248,82,0.773,0.0,0.00020653,0.9995
5355,Existing Customer,36,F,3,College,Married,$40K - $60K,Blue,28,4,3,2,2607.0,1487,735.0,0.947,5180,72,0.822,0.678,0.00018146,0.99982
5356,Existing Customer,31,M,1,Unknown,Single,$120K +,Blue,17,6,2,2,34516.0,0,34516.0,1.097,2543,82,0.846,0.0,0.00010046,0.9999
5357,Existing Customer,48,F,2,Graduate,Married,Less than $40K,Blue,41,4,3,4,1531.0,1110,711.0,0.827,4058,74,0.55,0.625,0.0005184,0.99948
5358,Existing Customer,51,F,3,College,Single,Less than $40K,Blue,36,6,3,3,2846.0,1242,1484.0,0.562,1200,35,0.549,0.456,0.00030516,0.99969
5359,Existing Customer,48,M,3,High School,Single,$80K - $120K,Blue,46,6,2,1,12292.0,1247,11024.0,0.736,4708,80,0.762,0.093,7.983e-05,0.99992
5360,Attrited Customer,40,F,4,Graduate,Single,Less than $40K,Blue,25,5,2,2,1445.0,666,1535.0,0.695,2159,46,0.571,0.336,0.99154,0.00846
5361,Attrited Customer,47,M,4,High School,Married,$60K - $80K,Blue,33,3,3,3,8812.0,0,7844.0,0.357,1580,40,0.5,0.0,0.99677,0.00323086
5362,Existing Customer,38,F,2,College,Single,Unknown,Gold,29,1,3,2,34516.0,2110,32441.0,0.688,4143,76,0.667,0.056,0.00028354,0.99972
5363,Attrited Customer,46,M,4,Graduate,Divorced,$80K - $120K,Blue,24,2,4,2,6208.0,2275,3394.0,0.58,2956,45,0.624,0.41,0.99543,0.00457111
5364,Existing Customer,52,F,1,Graduate,Married,Unknown,Silver,42,5,3,3,34516.0,1323,32654.0,0.9,3904,90,0.784,0.043,0.00028293,0.99972
5365,Existing Customer,47,F,5,College,Single,Less than $40K,Blue,28,4,3,3,1438.3,0,1438.3,0.996,4526,81,1.071,0.0,0.00030519,0.99969
5366,Existing Customer,47,F,4,Uneducated,Married,Unknown,Silver,40,1,2,2,31919.0,0,31516.0,0.82,8698,96,0.8,0.0,0.00011094,0.99989
5367,Existing Customer,51,F,4,Graduate,Divorced,$40K - $60K,Blue,39,5,5,2,1487.0,1278,385.0,0.631,4198,79,0.927,0.895,0.00023866,0.99976
5368,Attrited Customer,54,M,3,Unknown,Single,$40K - $60K,Blue,44,2,4,3,8327.0,138,8979.0,0.848,1853,38,0.355,0.075,0.99765,0.00235644
5369,Existing Customer,42,M,4,Post-Graduate,Married,Less than $40K,Blue,29,3,3,2,8788.0,1867,5921.0,0.632,7647,80,0.636,0.203,0.00021022,0.99979
5370,Existing Customer,52,F,4,Graduate,Married,Unknown,Blue,46,5,5,3,18956.0,1457,16487.0,0.832,1714,35,0.673,0.064,0.00037939,0.99962
5371,Attrited Customer,50,M,3,Uneducated,Married,$120K +,Blue,44,3,2,2,3407.0,1631,2098.0,0.452,2489,37,0.291,0.47,0.99179,0.00831
5372,Existing Customer,50,M,2,Unknown,Single,$40K - $60K,Blue,36,3,1,2,2382.0,1152,1132.0,0.652,4079,80,0.739,0.439,6.283e-05,0.99994
5373,Existing Customer,52,M,2,Graduate,Single,$60K - $80K,Gold,34,3,3,3,34516.0,1747,32808.0,0.6,4286,64,0.536,0.05,0.0004459,0.99956
5374,Existing Customer,36,M,2,High School,Single,$80K - $120K,Blue,21,4,3,3,10552.0,2080,8114.0,0.557,2365,63,0.537,0.147,0.00030841,0.99969
5375,Existing Customer,44,M,1,Graduate,Married,$60K - $80K,Blue,39,4,3,1,5327.0,1570,4497.0,0.639,3732,70,0.65,0.276,0.00010947,0.99989
5376,Existing Customer,44,F,3,Post-Graduate,Single,$40K - $60K,Blue,41,5,3,3,2133.0,1572,754.0,0.877,5134,89,0.815,0.675,0.00030894,0.99969
5377,Existing Customer,52,F,2,Graduate,Single,Less than $40K,Blue,36,1,2,2,4323.0,1068,2412.0,0.559,4978,82,0.884,0.351,0.00011382,0.99989
5378,Existing Customer,52,M,2,Graduate,Married,$80K - $120K,Blue,36,6,2,3,16333.0,2517,13031.0,0.705,1749,37,0.633,0.186,0.00018145,0.99982
5379,Attrited Customer,61,M,0,Graduate,Married,$60K - $80K,Blue,54,3,6,4,7101.0,0,7094.0,0.554,1772,44,0.271,0.0,0.99714,0.00186337
5380,Existing Customer,53,F,1,College,Married,Less than $40K,Blue,40,5,1,4,1438.3,0,1438.3,0.871,4689,74,0.897,0.0,0.00014112,0.99986
5381,Existing Customer,39,M,2,Uneducated,Single,$40K - $60K,Blue,27,3,1,3,3658.0,1328,1412.0,0.751,3532,61,0.792,0.527,9.524e-05,0.9999
5382,Attrited Customer,50,F,2,High School,Single,Less than $40K,Blue,43,2,3,3,1504.0,1911,117.0,0.62,2401,41,0.571,0.902,0.99675,0.00326323
5383,Existing Customer,56,M,3,Graduate,Married,$60K - $80K,Blue,36,1,3,3,13402.0,1887,11066.0,0.785,13770,95,0.952,0.101,0.00031256,0.99969
5384,Existing Customer,46,M,3,College,Single,$80K - $120K,Blue,40,6,2,2,4990.0,1444,3460.0,0.911,3539,63,0.65,0.373,0.00011482,0.99989
5385,Existing Customer,63,F,0,Uneducated,Single,$40K - $60K,Blue,52,6,3,1,2961.0,2157,548.0,0.883,3637,89,1.051,0.799,0.00010071,0.9999
5386,Existing Customer,29,M,0,Graduate,Divorced,Less than $40K,Blue,26,4,2,3,5716.0,2287,3124.0,0.788,15045,130,0.732,0.447,0.00015994,0.99984
5387,Existing Customer,65,F,1,High School,Divorced,Unknown,Blue,56,2,3,2,13557.0,1609,11489.0,0.941,4296,70,0.845,0.107,0.00016415,0.99984
5388,Existing Customer,28,M,1,Unknown,Married,$40K - $60K,Blue,20,6,1,4,3851.0,1536,2297.0,1.089,1815,33,0.757,0.302,0.00018155,0.99982
5389,Existing Customer,51,M,3,Graduate,Married,$60K - $80K,Blue,32,3,6,4,5226.0,1638,3764.0,0.793,1283,21,0.75,0.317,0.00033358,0.99966
5390,Existing Customer,39,M,4,Graduate,Married,$80K - $120K,Blue,32,6,3,0,7533.0,2238,5961.0,1.167,2578,57,0.763,0.394,6.908e-05,0.99993
5391,Attrited Customer,56,F,1,College,Unknown,Less than $40K,Blue,36,3,3,1,2333.0,443,1925.0,0.618,2892,42,0.357,0.243,0.99046,0.00954
5392,Existing Customer,51,F,4,High School,Married,Less than $40K,Blue,40,5,2,4,1438.3,982,700.3,0.94,2839,79,1.028,0.557,0.00030644,0.99969
5393,Existing Customer,49,F,2,Graduate,Single,$40K - $60K,Blue,30,5,4,3,2531.0,1649,562.0,0.844,4806,72,0.694,0.71,0.00034531,0.99965
5394,Existing Customer,62,F,0,Unknown,Married,$40K - $60K,Blue,49,5,3,0,2544.0,980,1594.0,1.088,1279,24,1.284,0.26,7.093e-05,0.99993
5395,Existing Customer,54,F,1,High School,Married,Less than $40K,Blue,43,3,2,5,1598.0,644,1084.0,0.959,4705,86,0.68,0.461,0.00053099,0.99946
5396,Existing Customer,34,F,2,Unknown,Single,Less than $40K,Blue,27,2,2,1,2827.0,1597,447.0,0.883,7037,75,0.694,0.803,6.859e-05,0.99993
5397,Attrited Customer,54,M,2,Unknown,Single,$60K - $80K,Blue,46,1,3,3,2329.0,0,2237.0,1.024,655,25,0.542,0.0,0.99713,0.00287883
5398,Existing Customer,37,F,2,Uneducated,Single,Unknown,Blue,39,3,2,3,11413.0,0,11399.0,0.925,4866,79,0.757,0.0,0.00020425,0.9998
5399,Existing Customer,31,M,3,Post-Graduate,Married,$40K - $60K,Blue,24,3,2,3,4316.0,2049,2010.0,0.952,1870,51,0.735,0.507,0.00011972,0.99988
5400,Existing Customer,44,F,3,College,Married,Less than $40K,Blue,36,5,2,3,2241.0,1079,1147.0,0.772,4977,86,0.864,0.55,0.00020411,0.9998
5401,Existing Customer,39,M,2,High School,Single,$60K - $80K,Blue,33,1,1,3,8220.0,698,7674.0,0.662,7694,95,0.634,0.094,9.005e-05,0.99991
5402,Existing Customer,47,M,3,Graduate,Married,$60K - $80K,Blue,32,6,1,0,18694.0,1349,17387.0,0.5,3472,81,0.844,0.099,2.583e-05,0.99997
5403,Existing Customer,44,M,3,Post-Graduate,Married,$80K - $120K,Blue,37,2,2,2,5385.0,998,4069.0,0.679,7499,84,0.575,0.162,0.00012982,0.99987
5404,Existing Customer,44,F,3,College,Divorced,Less than $40K,Blue,33,1,2,2,3496.0,1969,946.0,0.706,8262,95,0.682,0.746,0.00011486,0.99989
5405,Existing Customer,56,M,3,Graduate,Married,$80K - $120K,Blue,36,2,3,3,9170.0,1737,7509.0,0.674,7972,88,0.696,0.193,0.0002139,0.99979
5406,Existing Customer,47,F,4,Graduate,Married,$40K - $60K,Blue,30,5,4,4,7609.0,1484,6257.0,0.672,3367,62,0.836,0.154,0.00044007,0.99956
5407,Existing Customer,56,M,1,High School,Single,$60K - $80K,Blue,36,5,4,2,2891.0,0,2660.0,1.02,4192,75,0.618,0.0,0.00028538,0.99971
5408,Existing Customer,56,M,0,Graduate,Single,$80K - $120K,Blue,39,6,3,2,9438.0,1941,5013.0,0.71,1878,37,0.672,0.234,0.0001596,0.99984
5409,Attrited Customer,62,F,1,College,Single,$40K - $60K,Blue,54,1,6,3,1820.0,1423,464.0,0.528,2877,44,0.571,0.872,0.99665,0.00334483
5410,Existing Customer,65,M,0,Graduate,Divorced,Less than $40K,Blue,56,6,2,3,1438.3,1584,228.3,0.938,3680,51,0.878,0.871,0.0001597,0.99984
5411,Existing Customer,43,F,2,Unknown,Unknown,Unknown,Blue,38,3,2,2,1829.0,0,1847.0,0.706,4592,92,0.632,0.0,0.00012684,0.99987
5412,Existing Customer,45,F,2,Unknown,Single,Less than $40K,Blue,33,4,4,4,1638.0,1558,260.0,0.536,4388,64,1.08,0.844,0.00069158,0.99931
5413,Existing Customer,48,M,4,Graduate,Unknown,$60K - $80K,Blue,39,5,1,2,11558.0,1801,19037.0,0.484,4180,76,0.45,0.141,5.776e-05,0.99994
5414,Existing Customer,45,M,1,Doctorate,Married,$80K - $120K,Blue,39,2,2,2,17585.0,1159,16335.0,0.879,8197,72,0.644,0.089,0.0001537,0.99985
5415,Existing Customer,43,M,2,Graduate,Single,$120K +,Blue,36,5,3,4,8034.0,1084,7679.0,0.907,3435,81,0.574,0.183,0.000516,0.99948
5416,Existing Customer,56,M,1,Unknown,Married,$60K - $80K,Blue,47,3,3,4,10384.0,798,9375.0,0.528,1697,50,0.424,0.07,0.00043212,0.99947
5417,Existing Customer,45,F,2,College,Married,Less than $40K,Blue,31,1,2,2,7514.0,1692,5956.0,0.603,998,11,1.0,0.115,0.00011065,0.99989
5418,Existing Customer,52,M,4,High School,Unknown,$60K - $80K,Blue,46,6,3,4,16902.0,1948,15489.0,0.499,3700,68,0.588,0.135,0.00054248,0.99946
5419,Attrited Customer,50,F,1,Graduate,Single,Less than $40K,Blue,39,3,2,2,5615.0,0,5860.0,1.04,7986,65,0.594,0.0,0.99095,0.00905
5420,Existing Customer,46,F,3,High School,Married,$40K - $60K,Blue,36,6,3,1,3253.0,1340,2473.0,0.908,4606,77,0.891,0.339,0.00010944,0.99989
5421,Existing Customer,41,M,3,High School,Divorced,$120K +,Blue,31,3,2,4,4196.0,1081,4097.0,0.887,3844,51,0.551,0.178,0.00032942,0.99967
5422,Attrited Customer,59,F,1,High School,Single,Unknown,Blue,50,3,4,3,6379.0,0,6374.0,0.845,2589,47,0.724,0.0,0.99704,0.00295707
5423,Attrited Customer,37,F,3,High School,Married,Less than $40K,Blue,21,3,2,3,2686.0,2517,528.0,0.942,9804,88,0.814,0.829,0.99499,0.00501
5424,Existing Customer,56,F,4,Unknown,Single,$40K - $60K,Blue,47,6,1,4,1765.0,0,1716.0,0.492,4652,70,0.593,0.0,0.0001938,0.99981
5425,Existing Customer,45,F,4,College,Unknown,Unknown,Blue,34,3,2,2,1438.3,618,690.3,0.578,4625,82,0.733,0.426,0.00011604,0.99988
5426,Attrited Customer,42,M,4,Uneducated,Married,$80K - $120K,Blue,29,3,2,3,33845.0,0,32606.0,1.033,7104,81,0.714,0.0,0.99504,0.00495527
5427,Existing Customer,45,F,3,Unknown,Single,Less than $40K,Blue,37,2,3,2,1830.0,1045,835.0,0.883,5191,78,0.622,0.521,0.00022666,0.99977
5428,Existing Customer,43,M,2,College,Divorced,$60K - $80K,Blue,36,2,3,2,17502.0,2361,14243.0,0.804,7431,93,0.825,0.186,0.00017486,0.99983
5429,Existing Customer,42,M,4,Uneducated,Married,$60K - $80K,Blue,36,6,1,3,2224.0,1584,788.0,0.342,1364,39,0.306,0.659,9.915e-05,0.9999
5430,Attrited Customer,40,F,2,Doctorate,Married,$40K - $60K,Blue,29,4,2,3,1438.3,677,671.3,0.638,2821,31,0.479,0.513,0.99794,0.00506
5431,Existing Customer,50,M,2,Unknown,Single,$120K +,Blue,47,5,4,3,13801.0,2333,11508.0,0.894,1533,32,0.836,0.13,0.00042095,0.99958
5432,Attrited Customer,30,F,3,Post-Graduate,Divorced,Less than $40K,Blue,36,1,3,2,2817.0,0,2867.0,0.903,2502,54,0.82,0.0,0.9957,0.00449263
5433,Existing Customer,61,F,1,College,Single,Unknown,Blue,49,5,2,4,6155.0,637,5724.0,0.82,4656,88,0.824,0.083,0.00025007,0.99975
5434,Existing Customer,41,M,4,Uneducated,Married,$80K - $120K,Silver,29,6,3,1,34516.0,1695,32446.0,0.794,4654,74,0.658,0.047,0.00012477,0.99988
5435,Attrited Customer,37,M,5,College,Unknown,$60K - $80K,Blue,26,4,3,2,4903.0,783,3232.0,0.931,8699,74,0.683,0.238,0.99498,0.00502
5436,Existing Customer,40,M,3,High School,Single,Unknown,Blue,30,5,2,1,32758.0,2436,20377.0,0.726,1390,61,0.736,0.082,6.924e-05,0.99993
5437,Existing Customer,53,M,1,High School,Single,$80K - $120K,Blue,38,6,2,4,14953.0,794,14793.0,0.757,3299,65,0.667,0.071,0.00024093,0.99976
5438,Existing Customer,42,F,3,Uneducated,Single,Less than $40K,Blue,36,5,1,2,1438.3,748,970.3,0.642,4738,80,0.844,0.422,6.673e-05,0.99994
5439,Attrited Customer,43,F,1,High School,Unknown,Less than $40K,Blue,33,4,2,2,2521.0,2517,248.0,0.629,2006,43,0.734,0.894,0.99003,0.00997
5440,Existing Customer,48,M,4,Uneducated,Married,$80K - $120K,Blue,38,2,2,2,19136.0,1458,17017.0,0.75,8595,62,0.933,0.089,4.398e-05,0.99996
5441,Existing Customer,42,M,3,Post-Graduate,Single,$80K - $120K,Blue,38,4,1,1,17552.0,0,17506.0,0.761,3509,73,0.551,0.0,6.112e-05,0.99994
5442,Attrited Customer,41,M,4,High School,Single,$80K - $120K,Blue,37,2,2,4,9344.0,0,9477.0,0.533,2026,43,0.312,0.0,0.99735,0.00264844
5443,Existing Customer,41,F,3,Graduate,Married,$40K - $60K,Blue,27,4,2,0,6855.0,1439,5715.0,0.799,1785,37,0.9,0.198,4.388e-05,0.99996
5444,Existing Customer,45,M,5,Post-Graduate,Unknown,$60K - $80K,Blue,35,4,1,4,1438.3,0,1438.3,0.81,3839,79,0.517,0.0,0.0001997,0.9998
5445,Existing Customer,38,F,2,Doctorate,Married,Less than $40K,Blue,29,3,1,2,1663.0,913,510.0,0.598,1882,46,0.44,0.615,8.97e-05,0.99991
5446,Existing Customer,44,F,4,Post-Graduate,Married,$40K - $60K,Blue,35,3,3,3,3175.0,1864,1181.0,0.928,1692,41,0.574,0.635,0.00030876,0.99969
5447,Existing Customer,55,M,2,Graduate,Single,$60K - $80K,Blue,36,5,4,2,2811.0,1286,1474.0,0.722,1125,33,0.475,0.415,0.00019731,0.9998
5448,Existing Customer,39,M,2,Uneducated,Single,$60K - $80K,Blue,24,1,2,2,3959.0,1775,2766.0,0.782,15386,114,0.702,0.465,0.00011403,0.99989
5449,Existing Customer,52,F,2,College,Married,Less than $40K,Blue,36,4,2,0,2247.0,1104,827.0,0.706,4188,80,0.673,0.566,6.634e-05,0.99993
5450,Existing Customer,39,M,3,Graduate,Married,$60K - $80K,Blue,29,6,3,2,3028.0,1439,1428.0,0.969,1752,35,1.0,0.565,0.00018665,0.99981
5451,Attrited Customer,55,F,2,Unknown,Unknown,Less than $40K,Blue,46,1,3,3,1483.0,0,1614.0,0.884,2595,47,0.475,0.0,0.9972,0.00280741
5452,Existing Customer,38,M,3,High School,Married,$60K - $80K,Blue,23,4,1,4,4126.0,977,2584.0,0.675,15478,126,0.769,0.298,0.00016499,0.99984
5453,Attrited Customer,38,F,2,Unknown,Married,Less than $40K,Blue,27,3,3,4,1438.3,722,1410.3,0.769,896,26,0.236,0.168,0.99834,0.00105687
5454,Existing Customer,55,F,0,Graduate,Single,Less than $40K,Blue,36,5,1,3,5094.0,1091,4196.0,0.625,5223,63,0.831,0.286,7.769e-05,0.99992
5455,Existing Customer,37,M,2,Graduate,Divorced,$60K - $80K,Blue,26,1,3,0,2439.0,673,1560.0,0.718,5017,86,0.79,0.276,6.898e-05,0.99993
5456,Existing Customer,45,F,5,High School,Married,Less than $40K,Blue,31,3,2,3,4215.0,2090,2006.0,0.882,3552,68,0.561,0.452,0.00019311,0.99981
5457,Existing Customer,45,F,4,Unknown,Married,Less than $40K,Blue,34,5,3,4,1768.0,1616,592.0,0.767,4731,76,0.861,0.734,0.00054276,0.99946
5458,Existing Customer,45,M,5,College,Single,$80K - $120K,Blue,31,4,3,3,10330.0,0,11630.0,0.9,15440,116,0.81,0.0,0.00030842,0.99969
5459,Existing Customer,43,M,3,College,Married,$60K - $80K,Blue,27,3,2,2,12092.0,1784,9893.0,1.394,3472,66,1.157,0.18,0.00011482,0.99989
5460,Existing Customer,39,M,3,Post-Graduate,Married,$40K - $60K,Blue,26,3,3,3,5160.0,1986,2064.0,0.93,1643,34,0.5,0.302,0.0003592,0.99964
5461,Existing Customer,58,M,2,High School,Married,$80K - $120K,Blue,36,5,4,3,2884.0,1153,1164.0,0.443,1395,26,0.367,0.304,0.00030546,0.99969
5462,Existing Customer,49,F,3,Unknown,Unknown,$40K - $60K,Blue,29,1,1,1,1438.3,0,1438.3,0.69,5058,81,0.764,0.0,3.34e-05,0.99997
5463,Attrited Customer,53,M,2,Uneducated,Married,$80K - $120K,Blue,48,3,3,3,14268.0,672,13456.0,0.75,627,19,0.248,0.066,0.99661,0.00338774
5464,Existing Customer,50,F,4,Graduate,Single,$40K - $60K,Blue,40,6,4,2,3965.0,1932,1169.0,0.978,1271,50,0.458,0.663,0.00022771,0.99977
5465,Existing Customer,46,M,3,Graduate,Married,Less than $40K,Blue,40,6,3,2,2114.0,1151,1144.0,0.675,5124,90,0.856,0.565,0.00018665,0.99981
5466,Existing Customer,42,M,4,Graduate,Married,$80K - $120K,Silver,36,1,1,3,34516.0,1735,32005.0,1.709,15320,119,0.906,0.056,8.483e-05,0.99992
5467,Existing Customer,57,M,1,Graduate,Married,$80K - $120K,Blue,47,6,1,4,22830.0,2517,20398.0,1.053,1510,35,0.782,0.084,0.00015869,0.99984
5468,Existing Customer,53,F,5,High School,Married,$40K - $60K,Blue,48,5,1,3,2341.0,0,2465.0,0.733,5031,85,0.746,0.0,9.028e-05,0.99991
5469,Existing Customer,37,F,1,Graduate,Married,Unknown,Blue,29,5,3,2,2504.0,1923,689.0,1.185,2143,59,0.814,0.739,0.00016883,0.99983
5470,Existing Customer,37,M,1,Graduate,Single,$80K - $120K,Blue,27,6,2,4,21713.0,1836,20820.0,1.115,1606,56,0.606,0.073,0.00030653,0.99969
5471,Existing Customer,49,M,1,Uneducated,Married,$60K - $80K,Blue,36,5,2,2,9076.0,2517,6444.0,1.031,1580,44,1.224,0.239,0.00011734,0.99988
5472,Attrited Customer,46,F,4,Unknown,Married,$40K - $60K,Blue,34,3,3,1,11738.0,0,11959.0,0.994,2574,40,0.483,0.0,0.99127,0.00873
5473,Existing Customer,39,M,4,High School,Single,Less than $40K,Blue,36,4,3,1,1588.0,760,658.0,0.695,4742,81,0.9,0.43,0.0001106,0.99989
5474,Existing Customer,31,M,0,Uneducated,Single,$120K +,Blue,36,4,3,3,34516.0,1280,33111.0,0.679,15585,129,0.714,0.036,0.00035231,0.99965
5475,Attrited Customer,41,F,2,Doctorate,Single,Unknown,Blue,30,6,3,4,3086.0,2517,673.0,0.805,2598,57,0.661,0.701,0.99874,0.00125833
5476,Existing Customer,45,F,4,Graduate,Divorced,$40K - $60K,Blue,36,6,1,2,4277.0,0,4049.0,0.86,866,34,0.8,0.0,5.775e-05,0.99994
5477,Existing Customer,55,F,0,High School,Married,Less than $40K,Blue,47,6,1,2,3882.0,2407,1257.0,0.541,2669,59,0.724,0.623,4.485e-05,0.99996
